game_id,competition_id,season,round,date,aggregate,competition_type
3122176,RU1,2018,17. Matchday,09/12/18,4:00,domestic_league
3122645,SCI,2018,Final,16/01/19,1:00,other
3133947,RU1,2018,18. Matchday,02/03/19,2:02,domestic_league
3139986,BE1,2018,25. Matchday,10/02/19,1:02,domestic_league
3141066,NL1,2018,18. Matchday,20/01/19,4:04,domestic_league
3141069,NL1,2018,20. Matchday,02/02/19,6:00,domestic_league
3141110,NL1,2018,24. Matchday,03/03/19,4:02,domestic_league
3141133,NL1,2018,25. Matchday,10/03/19,0:00,domestic_league
3141143,NL1,2018,27. Matchday,30/03/19,1:00,domestic_league
3141145,NL1,2018,27. Matchday,30/03/19,3:02,domestic_league
3146483,GRP,2018,last 16 2nd leg,22/01/19,2:00,domestic_cup
3147779,CIT,2018,Quarter-Finals,30/01/19,7:01,domestic_cup
3148600,GR1,2018,19. Matchday,02/02/19,4:00,domestic_league
3151146,GR1,2018,20. Matchday,11/02/19,2:02,domestic_league
3151167,GRP,2018,Quarter-Finals 1st leg,07/02/19,0:01,domestic_cup
3153492,GR1,2018,22. Matchday,24/02/19,2:01,domestic_league
3153495,GR1,2018,22. Matchday,25/02/19,1:00,domestic_league
3159817,GR1,2018,26. Matchday,30/03/19,1:00,domestic_league
3159932,GR1,2018,27. Matchday,06/04/19,1:00,domestic_league
3159933,GR1,2018,27. Matchday,06/04/19,2:00,domestic_league
3159957,GR1,2018,30. Matchday,04/05/19,0:03,domestic_league
3160740,EL,2018,last 16 2nd leg,14/03/19,2:01,international_cup
3177129,EL,2018,Semi-Finals 1st Leg,02/05/19,3:01,international_cup
3180701,RU1,2018,28. Matchday,11/05/19,2:01,domestic_league
3183695,RU1,2018,29. Matchday,18/05/19,0:02,domestic_league
3183699,RU1,2018,29. Matchday,19/05/19,2:02,domestic_league
3194818,GB1,2019,1. Matchday,10/08/19,0:05,domestic_league
3194946,RU1,2019,1. Matchday,14/07/19,2:01,domestic_league
3194948,RU1,2019,1. Matchday,13/07/19,2:01,domestic_league
3195256,FR1,2019,2. Matchday,16/08/19,6:00,domestic_league
3199391,FR1,2019,4. Matchday,31/08/19,1:00,domestic_league
3199392,FR1,2019,4. Matchday,31/08/19,1:01,domestic_league
3199397,FR1,2019,5. Matchday,14/09/19,0:00,domestic_league
